,caption,image_path,subset,split,pathology,roi_text,noisy_text,corrected_text,med_umls_ids,magnification,height,width,not_histology,single_wsi
0,"Peritoneum, Day 4 These two biopsies (1 & 2) were taken from the same patient. What is your DailyDx of each of these peritoneal biopsies? What other finding is most likely to be present in this patient? Answers & quick facts tomorrow! UMichPath SurgPath",994701482116173824_0.jpg,openpath,train,,,,,,,,,0,1
2,Nephrogenic systemic fibrosis is a fibrotic disorder with deep involvement that goes down to the fascia.,dTr3MNl1FxE_image_c54e9a8d-9348-456a-9645-3b8921eb0b79.jpg,quilt,train,"['Dermatopathology', 'Soft tissue', 'Breast']",[]," some eosinophils in there as well. So just remember that. And again, maybe at some point in the future that may be some kind of therapeutic intervention, but you almost always see plasma cells when you get these sclerosing disorders. So I would recommend knowing those. I would also know some of the other conditions that you can get sclerosis in that are not really classically related to morphia, scleroderma form change that you see with some cases of chronic PCT, graft versus host disease, toxic oil, L-tryptophan deficiency, and then the differential diagnosis of nephrogenic systemic fibrosis, even though we don't see that many cases anymore of that today, because gadolinium isn't really being used as much as it used to be. That's not really a sclerotic disorder. It's a fibrotic disorder, but it also gives you very thick, deep involvement that goes all the way down to the fascia and even"," some eosinophils in there as well. So just remember that. And again, maybe at some point in the future that may be some kind of therapeutic intervention, but you almost always see plasma cells when you get these sclerotic disorders. So I would recommend knowing those. I would also know some of the other conditions that you can get sclerosis in that are not really classically related to morphia, scleroderma form change that you see with some cases of chronic PCT, graft versus host disease, toxic oil, L-tryptophan deficiency, and then the differential diagnosis of nephrogenic systemic fibrosis, even though we don't see that many cases anymore of that today, because gadolinium isn't really being used as much as it used to be. That's not really a sclerotic disorder. It's a fibrotic disorder, but it also gives you very thick, deep involvement that goes all the way down to the fascia and even","[[{'entity': 'Presence', 'concept_id': 'C0150312', 'confidence': 1.0}, {'entity': 'eosinophils', 'concept_id': 'C0014467', 'confidence': 1.0}, {'entity': 'plasma cells', 'concept_id': 'C0032112', 'confidence': 1.0}, {'entity': 'sclerotic disorders', 'concept_id': 'C0036412', 'confidence': 0.837680995464325}], [{'entity': 'Sclerosis', 'concept_id': 'C0036429', 'confidence': 1.0}, {'entity': 'conditions', 'concept_id': 'C0012634', 'confidence': 0.8556983470916748}, {'entity': 'morphia', 'concept_id': 'C0026549', 'confidence': 1.0}, {'entity': 'scleroderma', 'concept_id': 'C0011644', 'confidence': 1.0}, {'entity': 'chronic PCT', 'concept_id': 'C0205191', 'confidence': 0.6530080437660217}, {'entity': 'graft', 'concept_id': 'C0181074', 'confidence': 1.0}, {'entity': 'host disease', 'concept_id': 'C0162698', 'confidence': 0.7973175644874573}, {'entity': 'toxic oil', 'concept_id': 'C0409998', 'confidence': 0.7697754502296448}, {'entity': 'L-tryptophan deficiency', 'concept_id': 'C4317126', 'confidence': 0.7804175615310669}, {'entity': 'nephrogenic', 'concept_id': 'C1320468', 'confidence': 0.8878021836280823}], [{'entity': 'Nephrogenic', 'concept_id': 'C1320468', 'confidence': 0.8878021836280823}, {'entity': 'systemic fibrosis', 'concept_id': 'C0263669', 'confidence': 0.8302077054977417}, {'entity': 'fibrotic disorder', 'concept_id': 'C0406570', 'confidence': 0.8541455268859863}, {'entity': 'deep involvement', 'concept_id': 'C1314939', 'confidence': 0.8176997900009155}, {'entity': 'fascia', 'concept_id': 'C0015641', 'confidence': 1.0}]]",0.0,1040.0,1920.0,0,0
17,Cytosolic Sulfotransferase 1A1 /SULT1A1 Antibody,00004000040081.jpg,laion,train,,,,,,,,,0,1
33,"The immunocytochemistry of IDH1 in MG63 and U2OS. IDH1 is specifically detected in the cytoplasm of both osteosarcoma cell lines MG63 and U2OS.(A) Expression of IDH1 in U2OS, × 200; (B) Expression of IDH1 in MG63,× 200; (C) Expression of IDH1 in U2OS,× 400; (D) Expression of IDH1 in MG63,× 400.",c901a42b-0ab9-45d9-809d-dd646effcf9c_1.jpg,pubmed,train,,,,,,,,,0,1
1,"Teenager with a large hemispheric tumor.""PNET""-like morphology, with Olig2 negative and ATRX loss. What is the most likely diagnosis?PathTwitter neuropath neurotwitter",1574546082503139328_0.png,openpath,train,,,,,,,,,0,1
3,"The breast tissue shows hyperplasia, which is a normal finding in pregnancy.",YC5jOhcQGes_image_ede69e4d-0be4-4a06-a522-0c07528609eb.jpg,quilt,train,"['Breast', 'Gynecologic', 'Soft tissue']",['Breast tissue with hyperplasia'], tissue. So this is totally consistent with hyperplasia which is a normal type of hyperplasia of pregnancy. Also notice that there is very little by way of secreted milk material within these acini. There may be a little bit but for the most part they're not distended like thyroid follicles with milk. So the although this is a pregnant breast there is probably not a significant amount of lactation here. That's all I want to say about this case., tissue. So this is totally consistent with hyperplasia which is a normal type of hyperplasia of pregnancy. Also notice that there is very little by way of secreted milk material within these acini. There may be a little bit but for the most part they're not distended like thyroid follicles with milk. So the although this is a pregnant breast there is probably not a significant amount of lactation here. That's all I want to say about this case.,"[[{'entity': 'breast tissue', 'concept_id': 'C0444070', 'confidence': 0.9999998807907104}, {'entity': 'hyperplasia', 'concept_id': 'C0020507', 'confidence': 1.0}, {'entity': 'pregnancy', 'concept_id': 'C0032961', 'confidence': 1.0}], [{'entity': 'secreted', 'concept_id': 'C1327616', 'confidence': 1.0}, {'entity': 'milk material', 'concept_id': 'C0026131', 'confidence': 0.7710185050964355}, {'entity': 'acini', 'concept_id': 'C0596030', 'confidence': 0.7628078460693359}, {'entity': 'minimal', 'concept_id': 'C0547040', 'confidence': 0.9999999403953552}, {'entity': 'lactation', 'concept_id': 'C0006147', 'confidence': 1.0}]]",1.0,480.0,522.0,0,1
4,"There is little secreted milk material in the acini, indicating minimal lactation.",YC5jOhcQGes_image_ede69e4d-0be4-4a06-a522-0c07528609eb.jpg,quilt,train,"['Breast', 'Gynecologic', 'Soft tissue']",['Breast tissue with hyperplasia'], tissue. So this is totally consistent with hyperplasia which is a normal type of hyperplasia of pregnancy. Also notice that there is very little by way of secreted milk material within these acini. There may be a little bit but for the most part they're not distended like thyroid follicles with milk. So the although this is a pregnant breast there is probably not a significant amount of lactation here. That's all I want to say about this case., tissue. So this is totally consistent with hyperplasia which is a normal type of hyperplasia of pregnancy. Also notice that there is very little by way of secreted milk material within these acini. There may be a little bit but for the most part they're not distended like thyroid follicles with milk. So the although this is a pregnant breast there is probably not a significant amount of lactation here. That's all I want to say about this case.,"[[{'entity': 'breast tissue', 'concept_id': 'C0444070', 'confidence': 0.9999998807907104}, {'entity': 'hyperplasia', 'concept_id': 'C0020507', 'confidence': 1.0}, {'entity': 'pregnancy', 'concept_id': 'C0032961', 'confidence': 1.0}], [{'entity': 'secreted', 'concept_id': 'C1327616', 'confidence': 1.0}, {'entity': 'milk material', 'concept_id': 'C0026131', 'confidence': 0.7710185050964355}, {'entity': 'acini', 'concept_id': 'C0596030', 'confidence': 0.7628078460693359}, {'entity': 'minimal', 'concept_id': 'C0547040', 'confidence': 0.9999999403953552}, {'entity': 'lactation', 'concept_id': 'C0006147', 'confidence': 1.0}]]",1.0,480.0,522.0,0,1
5,"(1/6) MF in large cell transformation IHC stains show positivity for CD3 (top right), CD4 (bottom left) and CD5 (bottom right) in the large neoplastic cellshemepath lymsm PathTwitter hemepathMDA",1329227841582624769_3.jpg,openpath,train,,,,,,,,,0,1
6,Nondescript cells with hyperchromatic nuclei and pleomorphic nuclear features.,rdYF1iLJvrs_image_d18cb277-2e5b-4263-a618-aac2302e3352.jpg,quilt,train,"['Hematopathology', 'Dermatopathology', 'Head and Neck']",[]," These cells, let's take a look at them, are, again, similarly kind of small to medium in size. Nondescript, they're hyperchromatic nuclei. They have probably a little bit more pleomorphic nuclear features compared to the last case that we just looked at. As well, there's no real architecture to this, so, again, we kind of need a little bit of more IHC to guide us for this. I guess another thing just to point out is that"," These cells, let's take a look at them, are, again, similarly kind of small to medium in size. Nondescript, they're hyperchromatic nuclei. They have probably a little bit more pleomorphic nuclear features compared to the last case that we just looked at. As well, there's no real architecture to this, so, again, we kind of need a little bit of more IHC to guide us for this. I guess another thing just to point out is that","[[{'entity': 'Nondescript cells', 'concept_id': 'C1865791', 'confidence': 0.6172241568565369}, {'entity': 'hyperchromatic nuclei', 'concept_id': 'C3553776', 'confidence': 1.0}, {'entity': 'pleomorphic', 'concept_id': 'C1514164', 'confidence': 1.0}], [{'entity': 'No real', 'concept_id': 'C0237400', 'confidence': 0.7951179146766663}, {'entity': 'architecture', 'concept_id': 'C0003737', 'confidence': 1.0}, {'entity': 'cells', 'concept_id': 'C0007584', 'confidence': 0.9999999403953552}], [{'entity': 'IHC', 'concept_id': 'C0021044', 'confidence': 1.0}, {'entity': 'diagnosis', 'concept_id': 'C0011900', 'confidence': 0.9999998807907104}]]",2.0,1080.0,1920.0,0,0
7,No real architecture to the cells.,rdYF1iLJvrs_image_d18cb277-2e5b-4263-a618-aac2302e3352.jpg,quilt,train,"['Hematopathology', 'Dermatopathology', 'Head and Neck']",[]," These cells, let's take a look at them, are, again, similarly kind of small to medium in size. Nondescript, they're hyperchromatic nuclei. They have probably a little bit more pleomorphic nuclear features compared to the last case that we just looked at. As well, there's no real architecture to this, so, again, we kind of need a little bit of more IHC to guide us for this. I guess another thing just to point out is that"," These cells, let's take a look at them, are, again, similarly kind of small to medium in size. Nondescript, they're hyperchromatic nuclei. They have probably a little bit more pleomorphic nuclear features compared to the last case that we just looked at. As well, there's no real architecture to this, so, again, we kind of need a little bit of more IHC to guide us for this. I guess another thing just to point out is that","[[{'entity': 'Nondescript cells', 'concept_id': 'C1865791', 'confidence': 0.6172241568565369}, {'entity': 'hyperchromatic nuclei', 'concept_id': 'C3553776', 'confidence': 1.0}, {'entity': 'pleomorphic', 'concept_id': 'C1514164', 'confidence': 1.0}], [{'entity': 'No real', 'concept_id': 'C0237400', 'confidence': 0.7951179146766663}, {'entity': 'architecture', 'concept_id': 'C0003737', 'confidence': 1.0}, {'entity': 'cells', 'concept_id': 'C0007584', 'confidence': 0.9999999403953552}], [{'entity': 'IHC', 'concept_id': 'C0021044', 'confidence': 1.0}, {'entity': 'diagnosis', 'concept_id': 'C0011900', 'confidence': 0.9999998807907104}]]",2.0,1080.0,1920.0,0,0
